6WZN_A	6WZN_A
8DY2_A	5GJT_L
8DY2_A	5GZ0_C
8DY2_A	5GZO_D
8DY2_A	5H2B_B
8DY2_A	5I1A_A
8DY2_A	5I1E_L
8DY2_A	5I30_L
8DY2_A	5I66_B
8DY2_A	5I8E_D
8DY2_A	5IKC_A
8DY2_A	5IKC_L
8DY2_A	5JO4_D
8DY2_A	5K59_F
8DY2_A	5K9Q_K
8DY2_A	5KAN_I
8DY2_A	5KVG_L
8DY2_A	5LDN_L
8DY2_A	5LSP_T
8DY2_A	5MVZ_B
8DY2_A	5NBW_A
8DY2_A	5NPH_L
8DY2_A	5NST_C
8DY2_A	5O7P_A
8DY2_A	5OB5_L
8DY2_A	5OD8_B
8DY2_A	5OPY_L
8DY2_A	5SX4_L
8DY2_A	5T0Y_B
8DY2_A	5TDN_C
8DY2_A	5TDO_C
8DY2_A	5TDP_C
8DY2_A	5TH9_M
8DY2_A	5TIH_L
8DY2_A	5TKK_L
8DY2_A	5TPN_L
8DY2_A	5TR8_L
8DY2_A	5TZ2_L
8DY2_A	5TZU_L
8DY2_A	5U4R_B
8DY2_A	5UCB_L
8DY2_A	5UDD_S
8DY2_A	5UEK_L
8DY2_A	5UIX_L
8DY2_A	5VAG_B
8DY2_A	5VCO_C
8DY2_A	5VIC_L
8DY2_A	5VJQ_H
8DY2_A	5VPG_C
8DY2_A	5VQM_C
8DY2_A	5VSH_B
8DY2_A	5VVF_L
8DY2_A	5VYF_A
8DY2_A	5W0K_L
8DY2_A	5WUX_B
8DY2_A	5X4G_B
8DY2_A	5XAJ_L
8DY2_A	5XEZ_D
8DY2_A	5XHF_A
8DY2_A	5XHG_A
8DY2_A	5XKU_B
8DY2_A	5XQW_L
8DY2_A	5XXY_L
8DY2_A	5ZS0_A
8DY2_A	6A0X_F
8DY2_A	6A77_L
8DY2_A	6AMJ_L
8DY2_A	6AO0_L
8DY2_A	6APB_L
8DY2_A	6ARU_B
8DY2_A	6AVQ_L
8DY2_A	6AXL_B
8DY2_A	6B0H_C
8DY2_A	6B9Y_A
8DY2_A	6BFQ_D
8DY2_A	6BFS_L
8DY2_A	6BFT_L
8DY2_A	6BGT_A
8DY2_A	6BI0_L
8DY2_A	6BI2_M
8DY2_A	6BPA_F
8DY2_A	6BTJ_L
8DY2_A	6C6Y_L
8DY2_A	6CO3_L
8DY2_A	6CSE_L
8DY2_A	6CYF_L
8DY2_A	6D0U_F
8DY2_A	6DDR_A
8DY2_A	6DFJ_L
8DY2_A	6DKJ_B
8DY2_A	6DW2_A
8DY2_A	6DWI_O
8DY2_A	6ELL_L
8DY2_A	6FAB_L
8DY2_A	6FLC_A
8DY2_A	6FOE_L
8DY2_A	6GFF_K
8DY2_A	6HHC_L
8DY2_A	6I04_D
8DY2_A	6I8S_L
8DY2_A	6IAP_D
8DY2_A	6IAS_L
8DY2_A	6K0Y_B
8DY2_A	6L62_L
8DY2_A	6ME1_D
8DY2_A	6MEE_B
8DY2_A	6MFP_D
8DY2_A	6MQE_L
8DY2_A	6MQR_L
8DY2_A	6MTT_L
8DY2_A	6MVL_L
8DY2_A	6MWN_L
8DY2_A	6N6B_L
8DY2_A	6N81_L
8DY2_A	6NCP_D
8DY2_A	6NHA_L
8DY2_A	6NYQ_L
8DY2_A	6NZ7_I
8DY2_A	6O3B_E
8DY2_A	6OC3_D
8DY2_A	6OE5_L
8DY2_A	6OEL_L
8DY2_A	6OGX_L
8DY2_A	6OKN_D
8DY2_A	6OL5_B
8DY2_A	6OL6_B
8DY2_A	6P4B_L
8DY2_A	6P4C_L
8DY2_A	6P67_D
8DY2_A	6P9H_D
8DY2_A	6PDS_L
8DY2_A	6PI7_E
8DY2_A	6PLK_M
8DY2_A	6PYC_B
8DY2_A	6PZG_L
8DY2_A	6QCU_L
8DY2_A	6QIG_L
8DY2_A	6R0X_B
8DY2_A	6R2S_A
8DY2_A	6RCV_I
8DY2_A	6RPS_L
8DY2_A	6S3D_D
8DY2_A	6SNC_A
8DY2_A	6T3J_B
8DY2_A	6TKO_L
8DY2_A	6TYB_L
8DY2_A	6U1T_L
8DY2_A	6U3Z_D
8DY2_A	6U9U_L
8DY2_A	6UCE_L
8DY2_A	6UCF_L
8DY2_A	6UIG_C
8DY2_A	6URH_L
8DY2_A	6UTA_B
8DY2_A	6UUD_L
8DY2_A	6UYM_B
8DY2_A	6V4N_B
8DY2_A	6V4P_D
8DY2_A	6V4R_L
8DY2_A	6VEL_L
8DY2_A	6VI1_K
8DY2_A	6VMJ_I
8DY2_A	6VMK_R
8DY2_A	6VOS_L
8DY2_A	6VRQ_L
8DY2_A	6VRY_L
8DY2_A	6VSR_B
8DY2_A	6W16_L
8DY2_A	6W73_L
8DY2_A	6WJL_J
8DY2_A	6WK4_B
8DY2_A	6WKL_B
8DY2_A	6WO3_L
8DY2_A	6WO5_I
8DY2_A	6WQO_C
8DY2_A	6WVZ_L
8DY2_A	6WZJ_D
8DY2_A	6X4T_F
8DY2_A	6X5E_L
8DY2_A	6X7W_C
8DY2_A	6XC3_A
8DY2_A	6XC7_D
8DY2_A	6XDG_D
8DY2_A	6XLI_B
8DY2_A	6XLQ_C
8DY2_A	6XP6_I
8DY2_A	6XPR_F
8DY2_A	6XPY_C
8DY2_A	6XPZ_F
8DY2_A	6XSW_B
8DY2_A	6XSW_I
8DY2_A	6XUK_L
8DY2_A	6XXV_B
8DY2_A	6XXV_E
8DY2_A	6YIO_L
8DY2_A	6Z2L_B
8DY2_A	6Z3K_N
8DY2_A	6Z7W_C
8DY2_A	7AHV_B
8DY2_A	7BBJ_N
8DY2_A	7BEJ_L
8DY2_A	7BH8_F
8DY2_A	7BQ5_D
8DY2_A	7BXA_L
8DY2_A	7C4S_K
8DY2_A	7C6A_L
8DY2_A	7C88_B
8DY2_A	7CDJ_L
8DY2_A	7CH4_L
8DY2_A	7CHC_L
8DY2_A	7CHY_L
8DY2_A	7CJF_B
8DY2_A	7D5Z_K
8DY2_A	7DFP_B
8DY2_A	7DK2_H
8DY2_A	7DNH_L
8DY2_A	7DNK_L
8DY2_A	7DPM_K
8DY2_A	7DR4_L
8DY2_A	7DUN_L
8DY2_A	7DZX_L
8DY2_A	7DZY_L
8DY2_A	7E5O_L
8DY2_A	7E88_K
8DY2_A	7E9B_L
8DY2_A	7FCP_D
8DY2_A	7JR7_F
8DY2_A	7JTG_B
8DY2_A	7JZ4_D
8DY2_A	7K8R_L
8DY2_A	7K9Z_L
8DY2_A	7KBA_L
8DY2_A	7KEO_F
8DY2_A	7KFV_D
8DY2_A	7KFW_D
8DY2_A	7KFX_L
8DY2_A	7KFY_L
8DY2_A	7KGU_A
8DY2_A	7KLG_M
8DY2_A	7KMG_E
8DY2_A	7KMH_B
8DY2_A	7KPB_L
8DY2_A	7KPJ_B
8DY2_A	7KQB_J
8DY2_A	7KQG_C
8DY2_A	7KQH_D
8DY2_A	7KQI_C
8DY2_A	7KX4_C
8DY2_A	7KZA_L
8DY2_A	7KZB_L
8DY2_A	7LF8_L
8DY2_A	7LFD_L
8DY2_A	7LL1_K
8DY2_A	7LR4_B
8DY2_A	7LSG_L
8DY2_A	7MJJ_E
8DY2_A	7MLX_L
8DY2_A	7MSQ_E
8DY2_A	7MZF_L
8DY2_A	7MZN_L
8DY2_A	7N0U_L
8DY2_A	7N3C_L
8DY2_A	7N3D_L
8DY2_A	7N4I_L
8DY2_A	7N4L_L
8DY2_A	7N8Q_D
8DY2_A	7NFA_B
8DY2_A	7NTC_L
8DY2_A	7O4Y_L
8DY2_A	7OO2_D
8DY2_A	7PQY_C
8DY2_A	7PS3_L
8DY2_A	7QF1_D
8DY2_A	7QT0_F
8DY2_A	7QT2_B
8DY2_A	7QT3_D
8DY2_A	7QT4_B
8DY2_A	7QTK_C
8DY2_A	7QU1_B
8DY2_A	7QU2_B
8DY2_A	7RAQ_L
8DY2_A	7RQP_B
8DY2_A	7RQR_L
8DY2_A	7RTA_L
8DY2_A	7S0B_D
8DY2_A	7S0E_L
8DY2_A	7SBG_L
8DY2_A	7SK7_C
8DY2_A	7ST5_l
8DY2_A	7SZU_L
8DY2_A	7T72_L
8DY2_A	7T86_E
8DY2_A	7T97_D
8DY2_A	7T98_L
8DY2_A	7TE1_F
8DY2_A	7TP3_L
8DY2_A	7U0A_L
8DY2_A	7UIJ_B
8DY2_A	7UM3_L
8DY2_A	7UNB_E
8DY2_A	7UVF_L
8DY2_A	7UXL_E
8DY2_A	7UZD_L
8DY2_A	7V5N_E
8DY2_A	7VMZ_L
8DY2_A	7VSU_A
8DY2_A	7VUX_L
8DY2_A	7WN2_C
8DY2_A	7WSL_L
8DY2_A	7X2H_B
8DY2_A	7XCZ_E
8DY2_A	7XDA_E
8DY2_A	7XJF_B
8DY2_A	7XSC_B
8DY2_A	7Y0G_D
8DY2_A	7Y1B_L
8DY2_A	7YCL_B
8DY2_A	7YRF_E
8DY2_A	7YXU_L
8DY2_A	7Z2M_L
8DY2_A	7Z4T_L
8DY2_A	7ZFD_B
8DY2_A	7ZLI_L
8DY2_A	7ZQT_H
8DY2_A	7ZYI_L
8DY2_A	8AS0_S
8DY2_A	8BBN_L
8DY2_A	8BSE_L
8DY2_A	8C7J_B
8DY2_A	8CWJ_V
8DY2_A	8CWK_B
8DY2_A	8CYH_L
8DY2_A	8CZ5_L
8DY2_A	8D9Y_A
8DY2_A	8DB4_D
8DY2_A	8DFG_M
8DY2_A	8DK7_A
8DY2_A	8DK7_E
8DY2_A	8DXU_L
8DY2_A	8FFE_L
8DY2_A	8GB6_L
8DY2_A	8GB8_L
8DY2_A	8GV4_B
8DY2_A	8HN7_C
8DY2_A	8SLB_L
8DY2_A	1BFO_G
8DY2_A	1IGC_L
8DY2_A	2GFB_M
8DY2_A	3BN9_C
8DY2_A	4EDW_L
8DY2_A	4NRX_E
8DY2_A	5C8J_D
8DY2_A	6DB9_L
8DY2_A	6S3D_B
8DY2_A	6UTE_H
8DY2_A	7DFA_L
8DY2_A	7JMX_L
8DY2_A	7MXD_Y
8DY2_A	3K2U_L
8DY2_A	3KYM_K
8DY2_A	4LLW_D
8DY2_A	4LLU_B
8DY2_A	4LLY_D
8DY2_A	4PLJ_C
8DY2_A	4NRX_B
8DY2_A	6I3Z_L
8DY2_A	4XAK_E
8DY2_A	5XHV_Q
8DY2_A	6OUS_N
8DY2_A	6XUD_L
8DY2_A	4XHJ_G
8DY2_A	5UDD_U
8DY2_A	4LLW_B
8DY2_A	5D1Z_C
8DY2_A	5WUX_D
8DY2_A	6CW2_B
8DY2_A	5I8E_B
8DY2_A	7L7R_C
8DY2_A	6DC9_M
8DY2_A	3ULU_E
8DY2_A	5KAQ_L
8DY2_A	6U38_L
8DY2_A	7KGU_E
8DY2_A	7RAH_A
8DY2_A	7ZF5_C
8DY2_A	6DEZ_A
8DY2_A	6DEZ_L
8DY2_A	6DWI_C
8DY2_A	6DWI_M
8DY2_A	6MH2_C
8DY2_A	7DR4_B
8DY2_A	7KPJ_D
8DY2_A	5X8L_L
8DY2_A	7MXL_B
8DY2_A	7S07_L
8DY2_A	4HLZ_L
8DY2_A	4NRY_B
8DY2_A	7ZFA_F
8DY2_A	7U8J_L
8DY2_A	7ZFA_K
8DY2_A	4LLU_D
8DY2_A	7ZFA_L
8DY2_A	7ZFA_N
8DY2_A	8D0A_L
8DY2_A	8D1T_L
8DY2_A	8GOC_E
4HJJ_L	4HJJ_L
4HJJ_L	5FHX_L
4HJJ_L	5HCG_L
4HJJ_L	7PKL_L
3J8D_A	3J8D_A
